Date,price,zone
5/22/2024 0:00,25.65669,PGAE
5/22/2024 0:00,22.29714,SCE
5/22/2024 0:00,22.40229,SDGE
5/22/2024 0:00,20.83,VEA
5/22/2024 1:00,21.16246,PGAE
5/22/2024 1:00,18.51689,SCE
5/22/2024 1:00,18.61882,SDGE
5/22/2024 1:00,17.4039,VEA
5/22/2024 2:00,18.2626,PGAE
5/22/2024 2:00,15.50694,SCE
5/22/2024 2:00,15.53311,SDGE
5/22/2024 2:00,14.45973,VEA
5/22/2024 3:00,16.37539,PGAE
5/22/2024 3:00,13.75206,SCE
5/22/2024 3:00,13.72527,SDGE
5/22/2024 3:00,12.78551,VEA
5/22/2024 4:00,18.41145,PGAE
5/22/2024 4:00,15.65685,SCE
5/22/2024 4:00,15.71494,SDGE
5/22/2024 4:00,14.67138,VEA
5/22/2024 5:00,21.60628,PGAE
5/22/2024 5:00,18.76453,SCE
5/22/2024 5:00,18.8374,SDGE
5/22/2024 5:00,17.61338,VEA
5/22/2024 6:00,23.82149,PGAE
5/22/2024 6:00,20.8892,SCE
5/22/2024 6:00,20.8715,SDGE
5/22/2024 6:00,19.48171,VEA
5/22/2024 7:00,22.1371,PGAE
5/22/2024 7:00,-3.85305,SCE
5/22/2024 7:00,-3.4578,SDGE
5/22/2024 7:00,-5.09332,VEA
5/22/2024 8:00,8.29232,PGAE
5/22/2024 8:00,-13.73758,SCE
5/22/2024 8:00,-13.37506,SDGE
5/22/2024 8:00,-15.47273,VEA
5/22/2024 9:00,7.7018,PGAE
5/22/2024 9:00,-25,SCE
5/22/2024 9:00,-24.4516,SDGE
5/22/2024 9:00,-29.12938,VEA
5/22/2024 10:00,0,PGAE
5/22/2024 10:00,-23.01734,SCE
5/22/2024 10:00,-22.67302,SDGE
5/22/2024 10:00,-25.67,VEA
5/22/2024 11:00,-3.22734,PGAE
5/22/2024 11:00,-22.94212,SCE
5/22/2024 11:00,-22.59409,SDGE
5/22/2024 11:00,-27.17,VEA
5/22/2024 12:00,-3.8005,PGAE
5/22/2024 12:00,-23.8147,SCE
5/22/2024 12:00,-23.4634,SDGE
5/22/2024 12:00,-23.7066,VEA
5/22/2024 13:00,-5,PGAE
5/22/2024 13:00,-24.46794,SCE
5/22/2024 13:00,-24.1,SDGE
5/22/2024 13:00,-22.28073,VEA
5/22/2024 14:00,-3.67937,PGAE
5/22/2024 14:00,-23.60578,SCE
5/22/2024 14:00,-23.18119,SDGE
5/22/2024 14:00,-21.33049,VEA
5/22/2024 15:00,-0.95937,PGAE
5/22/2024 15:00,-22.3356,SCE
5/22/2024 15:00,-21.872,SDGE
5/22/2024 15:00,-22.45804,VEA
5/22/2024 16:00,5.22187,PGAE
5/22/2024 16:00,-18.76,SCE
5/22/2024 16:00,-18.22471,SDGE
5/22/2024 16:00,-19.8246,VEA
5/22/2024 17:00,13.17969,PGAE
5/22/2024 17:00,-2.41844,SCE
5/22/2024 17:00,-2.12051,SDGE
5/22/2024 17:00,-6.34237,VEA
5/22/2024 18:00,26.29473,PGAE
5/22/2024 18:00,19.44326,SCE
5/22/2024 18:00,19.89279,SDGE
5/22/2024 18:00,18.35933,VEA
5/22/2024 19:00,39.74865,PGAE
