Year,Month,Day,Hour,Minute,DNI,Price,IAM
2022,1,1,0,0,0.0,45.8889731485,0.0
2022,1,1,1,0,0.0,45.738766868,0.0
2022,1,1,2,0,0.0,47.3129923671,0.0
2022,1,1,3,0,0.0,50.4204787848,0.0
2022,1,1,4,0,0.0,50.7976092155,0.0
2022,1,1,5,0,0.0,47.424898178,0.0
2022,1,1,6,0,0.0,54.6424390189,0.0
2022,1,1,7,0,31.007079854460724,51.520661153,0.979351
2022,1,1,8,0,363.8751807023867,49.404129454,0.954506
2022,1,1,9,0,760.9610968043387,28.5254635492,0.9184
2022,1,1,10,0,892.6455327587796,42.6874550023,0.869104
2022,1,1,11,0,943.9769231042594,50.2053302714,0.810623
2022,1,1,12,0,961.4600445005257,47.3803433341,0.77349
2022,1,1,13,0,955.7686790997901,37.1240861685,0.80163
2022,1,1,14,0,923.6766935297771,34.2323442228,0.869644
2022,1,1,15,0,842.2654426898823,28.990481445,0.929722
2022,1,1,16,0,609.2487552555584,46.5680275068,1.0
2022,1,1,17,0,216.92698519429632,51.7945214609,1.0
2022,1,1,18,0,0.0,59.2870111107,1.0
2022,1,1,19,0,0.0,50.9775835174,0.0
2022,1,1,20,0,0.0,72.8201959679,0.0
2022,1,1,21,0,0.0,61.634404159,0.0
2022,1,1,22,0,0.0,60.5880625682,0.0
2022,1,1,23,0,0.0,54.3638632041,0.0
2022,1,2,0,0,0.0,62.0425551209,0.0
2022,1,2,1,0,0.0,87.4272374608,0.0
2022,1,2,2,0,0.0,76.7459442047,0.0
2022,1,2,3,0,0.0,60.9047126599,0.0
2022,1,2,4,0,0.0,57.5244025765,0.0
2022,1,2,5,0,0.0,53.7935692289,0.0
2022,1,2,6,0,0.0,57.0707531944,0.0
2022,1,2,7,0,30.307504939937836,56.301198895,0.0
2022,1,2,8,0,363.0333659775854,61.6536552278,0.955008
2022,1,2,9,0,760.9176301300112,59.4505877519,0.919174
2022,1,2,10,0,892.918602806102,73.7516124429,0.870242
